,authors,title,venue,type,year,access,key,ee
57,"Mohsen Zand,Ali Etemad,Michael A. Greenspan",ObjectBox: From Centers to Boxes for Anchor-Free Object Detection.,ECCV,Conference and Workshop Papers,2022,closed,conf/eccv/ZandEG22,https://doi.org/10.1007/978-3-031-20080-9_23
58,"Xianke Wang,Wei Xu,Weiming Yang,Wenqing Cheng",Musicyolo: A Sight-Singing Onset/Offset Detection Framework Based on Object Detection Instead of Spectrum Frames.,ICASSP,Conference and Workshop Papers,2022,closed,conf/icassp/WangXYC22,https://doi.org/10.1109/ICASSP43922.2022.9746684
59,"Ji-Woo Sim,Hee-Jo Woo,YunHwan Kim,Eung-Tae Kim",Effective Detection of Materials in Construction Drawings using YOLOv4-based Small Object Detection Techniques.,ICCE,Conference and Workshop Papers,2022,closed,conf/iccel/SimWKK22,https://doi.org/10.1109/ICCE53296.2022.9730778
60,"Janis Arents,Bernd Lesser,Andis Bizuns,Roberts Kadikis,Elvijs Buls,Modris Greitans","Synthetic Data of Randomly Piled, Similar Objects for Deep Learning-Based Object Detection.",ICIAP,Conference and Workshop Papers,2022,closed,conf/iciap/ArentsLBKBG22,https://doi.org/10.1007/978-3-031-06430-2_59
61,"Abhijeet Nayak,Mondher Bouazizi,Tasweer Ahmad,Artur Gonçalves,Bastien Rigault,Raghvendra Jain,Yutaka Matsuo,Helmut Prendinger",Evaluation of Fully Convolutional One-Stage Object Detection for Drone Detection.,ICIAP Workshops,Conference and Workshop Papers,2022,closed,conf/iciap/NayakBAGRJMP21,https://doi.org/10.1007/978-3-031-13324-4_37
62,"Berk Ulker,Sander Stuijk,Henk Corporaal,Rob G. J. Wijnhoven",Accelerating Video Object Detection by Exploiting Prior Object Locations.,ICIAP,Conference and Workshop Papers,2022,closed,conf/iciap/UlkerSCW22,https://doi.org/10.1007/978-3-031-06430-2_55
63,"Jiajun Zheng,Yuanyuan Zou 0002,Jie Xu,Lingshen Fang",A Method for Object Recognition and Robot Grasping Detection in Multi-object Scenes.,ICIRA,Conference and Workshop Papers,2022,closed,conf/icira/ZhengZXF22,https://doi.org/10.1007/978-3-031-13835-5_17
64,"Michael Fürst,Priyash Bhugra,René Schuster,Didier Stricker",Object Permanence in Object Detection Leveraging Temporal Priors at Inference Time.,ICPR,Conference and Workshop Papers,2022,closed,conf/icpr/FurstBSS22,https://doi.org/10.1109/ICPR56361.2022.9956426
65,"Renjie Huang,Yuting He,Guoqiang Xiao,Yangguang Shi,Yongqiang Zheng",Adaptive Tiny Object Detection for Improving Pest Detection.,ICPR,Conference and Workshop Papers,2022,closed,conf/icpr/HuangHXSZ22,https://doi.org/10.1109/ICPR56361.2022.9956571
66,"Ioanna C. Gogou,Dimitrios A. Koutsomitropoulos",A Review and Implementation of Object Detection Models and Optimizations for Real-time Medical Mask Detection during the COVID-19 Pandemic.,INISTA,Conference and Workshop Papers,2022,closed,conf/inista/GogouK22,https://doi.org/10.1109/INISTA55318.2022.9894232
